Entidad,Municipio,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3
Puebla,Chietla,12.891,2393.9390000000003,1056.262,6671.187,2477.551,1437.5639999999999,149.09300000000002
Puebla,Chigmecatitlán,0.213,54.835,677.729,6542.728999999999,7.1979999999999995,5.389,7.7940000000000005
Puebla,Chignahuapan,21.559,3529.903,1297.5149999999999,3486.161,624.854,428.298,527.3330000000001
Puebla,Chignautla,13.997,1287.863,897.554,2238.134,166.284,110.95200000000001,143.374
Puebla,Chila,6.181,913.794,573.626,4690.795,69.587,57.107,56.068
Puebla,Chila de la Sal,0.392,101.976,166.79399999999998,7364.807,9.639999999999999,7.162,8.880999999999998
Puebla,Chilchotla,4.685,969.8800000000001,585.59,1988.181,128.798,98.21199999999999,165.489
Puebla,Chinantla,1.693,224.638,456.882,4890.125,24.305,12.505,19.009
Puebla,Coatepec,0.14200000000000002,36.304,378.108,1450.3790000000001,6.362,4.388999999999999,29.304000000000002
Puebla,Coatzingo,0.994,225.949,296.216,3988.294,28.995,18.581999999999997,29.394
Puebla,Cohetzala,0.394,92.445,88.634,2956.0249999999996,18.083,10.521999999999998,16.784000000000002
Puebla,Cohuecan,1.367,337.259,410.875,2528.6839999999997,44.346000000000004,29.857,31.604
Puebla,Coronango,33.209,6188.423000000001,1360.1390000000001,2983.808,2180.91,1985.6470000000002,116.483
Puebla,Coxcatlán,5.404,947.306,443.635,3042.939,98.803,71.304,130.867
Puebla,Coyomeapan,3.29,749.91,323.805,2983.1910000000003,120.887,95.605,151.184
Puebla,Coyotepec,0.8089999999999999,165.507,334.44300000000004,1306.3990000000001,30.238,13.538,37.707
Puebla,Cuapiaxtla de Madero,2.6079999999999997,429.01899999999995,698.7900000000001,2134.0119999999997,23.83,16.502,63.546
Puebla,Cuautempan,1.978,529.5640000000001,422.77399999999994,1986.62,61.751999999999995,51.544000000000004,120.273
Puebla,Cuautinchán,46.983,991.078,775.947,1234.39,79.172,49.137,90.801
Puebla,Cuautlancingo,39.647,5038.562,2109.733,4968.313,761.7349999999999,696.404,175.257
